Frame,Nose_X,Nose_Y,Nose_Score,LEye_X,LEye_Y,LEye_Score,REye_X,REye_Y,REye_Score,LEar_X,LEar_Y,LEar_Score,REar_X,REar_Y,REar_Score,LShoulder_X,LShoulder_Y,LShoulder_Score,RShoulder_X,RShoulder_Y,RShoulder_Score,LElbow_X,LElbow_Y,LElbow_Score,RElbow_X,RElbow_Y,RElbow_Score,LWrist_X,LWrist_Y,LWrist_Score,RWrist_X,RWrist_Y,RWrist_Score,LHip_X,LHip_Y,LHip_Score,RHip_X,RHip_Y,RHip_Score,LKnee_X,LKnee_Y,LKnee_Score,RKnee_X,RKnee_Y,RKnee_Score,LAnkle_X,LAnkle_Y,LAnkle_Score,RAnkle_X,RAnkle_Y,RAnkle_Score,Head_X,Head_Y,Head_Score,Neck_X,Neck_Y,Neck_Score,Hip_X,Hip_Y,Hip_Score,LBigToe_X,LBigToe_Y,LBigToe_Score,RBigToe_X,RBigToe_Y,RBigToe_Score,LSmallToe_X,LSmallToe_Y,LSmallToe_Score,RSmallToe_X,RSmallToe_Y,RSmallToe_Score,LHeel_X,LHeel_Y,LHeel_Score,RHeel_X,RHeel_Y,RHeel_Score,RKnee,LKnee,RElbow,LElbow,RAnkle,LAnkle,Neck,Hip,TL_X,TL_Y,BR_X,BR_Y,BBOX_SCORE
1,324.96,131.32,0.9394,327.1,129.18,0.948,323.89,130.25,0.9424,330.31,130.25,0.9762,323.89,131.32,0.7467,337.79,138.8,0.9525,323.89,142.01,0.9188,348.49,145.22,0.9369,323.89,152.71,0.8651,341.0,152.71,0.9775,321.75,153.78,0.9574,335.65,164.47,0.8508,329.24,165.54,0.9277,330.31,181.58,0.918,332.45,182.65,0.8145,339.93,195.49,0.848,338.86,197.63,0.8354,326.03,124.9,0.966,329.24,136.66,0.9348,332.45,164.47,0.9673,337.79,204.05,0.8923,336.72,205.11,0.8285,341.0,204.05,0.8951,334.58,204.05,0.8154,341.0,196.56,0.8488,339.93,200.84,0.7766,12.58,52.05,63.43,104.04,39.14,48.73,8.67,18.43,319.53,125.01,350.71,207.15,0.95
2,324.25,130.95,0.9566,325.38,129.82,0.9714,323.12,129.82,0.9443,329.89,129.82,0.9579,323.12,130.95,0.7333,336.66,137.72,0.9301,323.12,141.1,0.9127,347.94,144.48,0.9291,323.12,150.12,0.827,340.04,151.25,0.9674,322.0,151.25,0.9288,335.53,163.66,0.9014,328.76,164.79,0.9145,328.76,180.58,0.9326,334.4,181.7,0.8963,333.27,198.62,0.8356,340.04,196.37,0.9063,325.38,124.18,0.9609,328.76,135.46,0.9287,332.15,162.53,0.958,329.89,204.26,0.8436,337.79,204.26,0.9009,332.15,204.26,0.8033,336.66,203.13,0.7944,335.53,199.75,0.8646,342.3,198.62,0.8763,2.6,35.84,45.0,108.43,36.98,45.0,9.57,52.13,319.11,122.04,350.82,208.66,0.97
3,323.58,130.4,0.9679,325.84,128.14,0.9688,323.58,129.27,0.9482,330.36,128.14,0.9415,322.45,129.27,0.7598,336.01,137.18,0.928,322.45,139.44,0.9349,346.18,143.96,0.9953,321.32,149.61,0.8408,340.53,150.74,0.9875,321.32,150.74,0.9225,334.88,162.04,0.8996,328.1,163.17,0.9383,329.23,180.12,0.9131,333.75,180.12,0.8812,328.1,200.46,0.7602,340.53,194.81,0.9032,325.84,123.62,0.9331,328.1,134.92,0.9362,331.49,162.04,0.9565,323.58,203.84,0.5411,340.53,201.59,0.6189,325.84,204.97,0.5449,339.4,201.59,0.5042,330.36,204.97,0.6102,342.79,194.81,0.7018,6.34,14.17,6.34,96.12,24.78,49.95,4.18,18.43,319.16,121.47,351.72,208.25,0.96
4,323.96,130.81,0.9154,325.07,128.59,0.933,322.85,128.59,0.9557,329.5,127.48,0.9743,321.74,129.7,0.7824,336.16,136.36,0.9341,321.74,139.69,0.8975,345.04,144.13,0.9176,320.63,148.56,0.7703,338.38,150.78,0.9485,320.63,149.67,0.9067,332.83,161.88,0.871,326.18,162.99,0.9369,328.4,180.74,0.9221,331.72,180.74,0.8792,325.07,200.71,0.8621,342.82,192.95,0.8816,323.96,123.04,0.966,327.29,134.14,0.9307,329.5,161.88,0.9257,317.3,205.15,0.8709,342.82,200.71,0.8296,319.52,206.26,0.9132,342.82,200.71,0.8715,325.07,205.15,0.8311,343.93,192.95,0.9191,24.92,3.78,7.13,93.81,42.27,50.79,12.13,18.43,316.83,122.05,349.95,207.26,0.99
5,323.34,131.55,0.9643,325.55,129.34,0.9747,322.24,130.44,0.9691,329.97,129.34,0.9683,321.14,130.44,0.7435,335.49,138.17,0.9323,322.24,140.38,0.8977,345.43,144.8,0.9781,321.14,150.32,0.8051,338.8,151.42,0.9812,320.03,151.42,0.9125,333.28,162.46,0.8808,325.55,163.57,0.9589,327.76,181.23,0.9454,328.86,181.23,0.9487,325.55,201.11,0.9256,342.11,190.07,0.9014,324.45,123.82,0.9633,327.76,135.96,0.936,328.86,162.46,0.9753,316.72,205.52,0.829,344.32,197.79,0.9049,318.93,205.52,0.8826,343.22,196.69,0.9025,325.55,205.52,0.9327,344.32,188.96,0.9043,45.69,10.05,38.66,101.31,40.36,57.09,12.87,18.44,317.47,122.83,350.2,207.62,0.99
6,322.75,131.35,0.945,324.89,129.21,0.9457,321.68,130.28,0.9529,329.18,129.21,0.9592,321.68,131.35,0.7053,335.61,138.86,0.9313,322.75,141.0,0.8865,345.26,146.36,0.9377,320.61,150.65,0.8052,338.83,151.72,0.9371,319.53,151.72,0.9034,332.4,163.52,0.8646,324.89,163.52,0.942,327.04,181.74,0.9448,327.04,182.81,0.96,324.89,201.04,0.9237,340.97,187.1,0.9081,324.89,123.85,0.9635,328.11,135.64,0.933,328.11,162.44,0.9656,318.46,205.33,0.7998,345.26,194.61,0.8337,320.61,205.33,0.8695,344.19,193.53,0.8573,325.97,204.25,0.8663,344.19,186.03,0.8571,66.56,10.05,32.47,102.32,43.15,49.97,15.26,32.47,316.65,123.96,349.21,206.29,0.99
7,321.61,133.35,0.9395,323.76,131.2,0.9467,320.54,131.2,0.9735,328.07,130.13,0.9401,320.54,132.28,0.7583,334.52,139.81,0.9442,320.54,140.89,0.92,344.21,149.49,0.9444,320.54,151.65,0.8156,335.6,154.87,0.9164,317.31,153.8,0.9207,330.22,164.56,0.847,323.76,164.56,0.9156,325.92,183.92,0.9465,322.69,183.92,0.833,324.84,203.29,0.9236,339.9,187.15,0.6053,323.76,124.75,0.9678,326.99,136.58,0.9278,326.99,163.48,0.9391,320.54,208.67,0.8636,342.06,192.53,0.8415,323.76,209.75,0.8616,342.06,191.46,0.7505,326.99,206.52,0.8656,342.06,185.0,0.7138,82.56,9.35,56.31,102.99,57.58,35.48,15.26,36.87,315.64,124.85,348.03,207.49,0.99
8,321.08,134.05,0.9409,323.26,131.87,0.9667,319.99,132.96,0.96,327.62,131.87,0.9511,319.99,134.05,0.7521,333.07,141.69,0.9143,321.08,142.78,0.8919,343.98,151.5,0.944,319.99,152.59,0.8494,335.25,155.87,0.9213,317.8,155.87,0.9373,330.89,165.68,0.8732,323.26,165.68,0.8998,325.44,185.31,0.9832,322.17,185.31,0.8782,327.62,204.95,0.8782,338.53,187.49,0.7028,322.17,126.42,0.9475,326.53,138.41,0.9331,327.62,165.68,0.9581,322.17,209.31,0.9101,340.71,194.04,0.8395,325.44,209.31,0.8813,340.71,191.86,0.7388,329.8,207.13,0.8769,340.71,185.31,0.7029,85.59,21.86,27.35,111.45,63.97,57.68,17.69,0.0,315.37,125.44,347.5,209.2,0.99
9,321.84,134.83,0.9374,322.94,132.64,0.9535,320.74,133.74,0.9721,327.32,132.64,0.9432,319.65,133.74,0.7597,333.89,142.5,0.913,321.84,143.6,0.8925,342.65,154.55,0.903,320.74,153.45,0.8487,333.89,157.84,0.9552,318.55,157.84,0.909,330.6,167.69,0.8894,322.94,167.69,0.9045,327.32,187.41,0.9405,320.74,187.41,0.8986,330.6,204.93,0.915,336.08,190.7,0.6439,322.94,127.17,0.9684,326.22,139.22,0.9258,327.32,166.6,0.9552,325.13,209.32,0.8938,337.17,197.27,0.8807,327.32,210.41,0.9056,336.08,196.17,0.7624,331.7,208.22,0.8955,339.36,188.5,0.7588,84.25,20.08,20.23,105.47,68.44,61.96,12.96,32.47,315.38,126.18,346.92,210.3,0.99
10,321.35,134.86,0.9244,322.45,132.66,0.9423,320.26,132.66,0.9551,326.83,132.66,0.9424,320.26,133.76,0.7506,333.41,143.62,0.9049,321.35,143.62,0.9067,341.08,154.58,0.9202,322.45,154.58,0.8475,332.31,157.87,0.9311,319.16,158.96,0.7725,330.12,168.83,0.9218,322.45,168.83,0.9108,327.93,188.55,0.9195,319.16,188.55,0.9625,333.41,204.99,0.8615,333.41,191.84,0.9335,322.45,127.18,0.9505,325.74,139.24,0.9275,326.83,167.73,0.9743,327.93,209.38,0.9245,334.5,198.42,0.744,331.21,210.47,0.8924,333.41,197.32,0.7967,335.6,208.28,0.8466,336.69,191.84,0.9369,86.47,24.78,42.58,104.44,67.54,69.77,13.05,32.47,315.78,126.2,345.55,210.36,0.99
