Frame,Nose_X,Nose_Y,Nose_Score,LEye_X,LEye_Y,LEye_Score,REye_X,REye_Y,REye_Score,LEar_X,LEar_Y,LEar_Score,REar_X,REar_Y,REar_Score,LShoulder_X,LShoulder_Y,LShoulder_Score,RShoulder_X,RShoulder_Y,RShoulder_Score,LElbow_X,LElbow_Y,LElbow_Score,RElbow_X,RElbow_Y,RElbow_Score,LWrist_X,LWrist_Y,LWrist_Score,RWrist_X,RWrist_Y,RWrist_Score,LHip_X,LHip_Y,LHip_Score,RHip_X,RHip_Y,RHip_Score,LKnee_X,LKnee_Y,LKnee_Score,RKnee_X,RKnee_Y,RKnee_Score,LAnkle_X,LAnkle_Y,LAnkle_Score,RAnkle_X,RAnkle_Y,RAnkle_Score,Head_X,Head_Y,Head_Score,Neck_X,Neck_Y,Neck_Score,Hip_X,Hip_Y,Hip_Score,LBigToe_X,LBigToe_Y,LBigToe_Score,RBigToe_X,RBigToe_Y,RBigToe_Score,LSmallToe_X,LSmallToe_Y,LSmallToe_Score,RSmallToe_X,RSmallToe_Y,RSmallToe_Score,LHeel_X,LHeel_Y,LHeel_Score,RHeel_X,RHeel_Y,RHeel_Score,RKnee,LKnee,RElbow,LElbow,RAnkle,LAnkle,Neck,Hip,TL_X,TL_Y,BR_X,BR_Y
11.0,1653.39,445.64,0.9064,1657.81,441.22,0.9185,1653.39,441.22,0.9127,1671.06,445.64,0.9024,1671.06,445.64,0.8345,1671.06,463.3,0.9117,1675.47,463.3,0.93,1662.22,487.59,0.9378,1684.3,485.38,0.8335,1637.94,480.96,0.7959,1671.06,496.42,0.5191,1675.47,518.49,0.8703,1675.47,518.49,0.8317,1637.94,544.99,0.5329999999999999,1637.94,542.78,0.6554,1618.07,586.94,0.5789,1618.07,584.73,0.6904,1664.43,430.18,0.8972,1668.85,454.47,0.9364,1675.47,516.29,0.9182,1600.4,586.94,0.6546,1598.2,586.94,0.7779,1602.61,589.15,0.6675,1600.4,586.94,0.7291,1620.28,591.35,0.7948,1741.71,556.03,0.7023,31.75,29.44,72.0,85.27,58.31,64.65,4.19,180.0,1601.02,425.99,1716.81,595.55
12.0,1618.8,446.06,0.9352,1623.41,441.45,0.9719,1618.8,441.45,0.9507,1634.93,443.76,0.9404,1634.93,443.76,0.8125,1641.84,462.19,0.9470000000000001,1639.54,462.19,0.8502,1639.54,489.84,0.8722,1646.45,489.84,0.8485,1618.8,485.23,0.7582,1632.63,510.57,0.8222,1646.45,519.79,0.8706,1637.23,519.79,0.8388,1655.67,558.96,0.8749,1614.19,549.74,0.8748,1692.53,547.44,0.9158,1595.76,591.21,0.8857,1628.02,432.24,0.9273,1637.23,455.28,0.9007,1641.84,517.49,0.9354,1708.66,558.96,0.8299,1575.03,595.82,0.9164,1708.66,556.65,0.8969,1577.33,593.52,0.9273,1697.14,540.53,0.8378,1598.07,598.13,0.8376,13.61,94.11,47.73,97.77,53.51,52.89,17.56,53.13,1577.18,427.86,1671.95,604.81
13.0,1587.61,448.55,0.9373,1592.58,443.57,0.9605,1587.61,443.57,0.9487,1605.02,446.06,0.9216,1605.02,446.06,0.8153,1610.0,463.47,0.9071,1605.02,463.47,0.8857,1614.97,493.32,0.9277,1607.51,493.32,0.8443,1602.53,518.19,0.9440000000000001,1587.61,503.27,0.7651,1612.48,520.68,0.8614,1614.97,518.19,0.8049,1592.58,557.99,0.7929,1610.0,560.48,0.8695,1580.15,600.28,0.8471,1644.82,545.56,0.7958,1597.56,433.62,0.9359,1605.02,456.01,0.8987,1612.48,515.71,0.8847,1560.25,607.74,0.9376,1662.23,553.02,0.7497,1565.22,610.23,0.9261,1662.23,550.53,0.8244,1585.12,605.25,0.8697,1647.31,535.61,0.7797,119.91,11.68,68.2,36.03,46.4,53.05,11.31,135.0,1562.8,431.38,1639.78,622.42
14.0,1562.19,452.39,0.925,1566.63,447.95,0.9506,1559.97,447.95,0.9481,1577.72,450.17,0.9092,1559.97,452.39,0.7456,1582.16,467.92,0.9055,1571.06,470.14,0.8686,1593.25,494.55,1.0162,1582.16,496.77,0.7419,1591.04,518.96,0.9801,1586.6,518.96,0.6933,1582.16,521.17,0.8926,1577.72,518.96,0.838,1562.19,554.46,0.8233,1566.63,552.24,0.7847,1579.94,603.28,0.8117,1599.91,545.58,0.7251,1566.63,436.85,0.8953,1573.28,461.26,0.932,1579.94,518.96,0.9476,1564.41,609.93,0.6739,1613.23,561.12,1.0146,1566.63,612.15,0.6937,1611.01,558.9,0.9317,1586.6,609.93,0.7916,1604.35,541.15,0.8395,119.74,50.95,11.31,27.81,60.71,86.78,8.67,45.0,1538.29,443.73,1610.5,614.15
15.0,1527.72,451.27,0.9444,1532.57,448.84,0.9341,1527.72,448.84,0.927,1544.7,448.84,0.9487,1544.7,451.27,0.799,1551.98,470.67,0.8736,1539.85,473.1,0.8877,1571.39,492.51,0.9451,1535.0,494.93,0.7782,1571.39,519.19,0.9513,1515.59,485.23,0.8917,1549.55,526.47,0.9397,1551.98,528.9,0.9508,1513.16,543.46,0.8953,1556.83,567.72,0.8463,1547.13,553.16,0.9478,1578.66,601.68,0.9575,1537.42,436.71,0.9428,1544.7,460.97,0.9167,1551.98,526.47,0.9436,1556.83,570.14,0.8737,1561.68,611.38,0.8582,1556.83,570.14,0.7848,1561.68,608.96,0.9117,1556.83,553.16,0.8084,1585.94,604.11,0.9489,25.61,139.04,104.04,41.63,92.99,44.31,10.36,90.0,1507.44,439.38,1589.23,625.7
16.0,1502.39,451.49,0.9133,1504.66,449.22,0.9036,1502.39,449.22,0.8693,1515.98,449.22,0.8954,1513.71,449.22,0.6447,1525.03,469.6,0.8962,1504.66,471.86,0.9615,1549.94,487.72,0.9245,1493.33,492.24,0.9278,1549.94,510.36,0.9504,1484.28,474.13,0.8563,1520.51,521.68,0.867,1513.71,521.68,0.8214,1479.75,535.27,0.7715,1534.09,560.18,0.9127,1504.66,569.23,0.6958,1565.79,591.88,0.7908,1509.18,437.9,0.9268,1513.71,462.81,0.9614,1515.98,519.42,0.9104,1493.33,585.08,0.5021,1495.6,587.35,0.6061,1497.86,582.82,0.5857,1495.6,585.08,0.5658,1509.18,569.23,0.7644,1574.85,594.14,0.7074,17.1,107.82,124.38,53.97,138.69,71.79,8.01,71.57,1467.16,438.13,1580.65,612.03
17.0,1469.42,450.43,0.943,1473.92,445.93,0.9425,1469.42,448.18,0.9319,1485.17,448.18,0.9009999999999999,1485.17,450.43,0.7022,1496.42,468.42,0.9375,1476.17,470.67,0.9639,1521.16,484.17,0.9259999999999999,1462.67,486.42,0.8893,1518.91,511.16,0.9307,1455.93,472.92,0.9179,1489.67,522.41,0.9411,1482.92,524.66,0.8992,1449.18,533.66,0.7542,1509.92,560.66,0.8933,1451.43,578.65,0.7251,1545.91,578.65,0.6682,1480.67,436.93,0.9485,1482.92,461.67,0.9683,1485.17,520.16,0.9127,1437.93,587.65,0.7917,1552.66,598.9,0.6062,1440.18,587.65,0.8238,1552.66,596.65,0.5957,1453.68,583.15,0.7903,1552.66,576.4,0.7271,26.57,77.34,112.83,62.29,45.0,59.17,2.99,90.0,1431.21,432.65,1545.88,605.42
18.0,1437.19,451.54,0.9628,1441.58,447.15,0.9536,1437.19,447.15,0.9569,1454.74,449.34,0.9385,1452.54,449.34,0.8039,1465.71,471.28,0.9485,1445.96,471.28,0.9336,1489.84,488.83,0.9526,1437.19,491.02,0.9569,1487.64,510.77,0.9252,1421.83,480.05,0.9367,1456.93,521.73,0.8999,1454.74,523.93,0.9058,1424.03,543.67,0.9554,1474.48,559.03,0.9652,1408.67,587.54,0.9604,1516.16,563.41,0.9489,1448.16,436.18,0.9507,1452.54,460.31,0.9708,1456.93,521.73,0.9567,1391.12,587.54,0.8559,1531.52,580.96,0.9732,1393.31,591.93,0.8817,1529.32,578.77,0.8499,1410.86,591.93,0.9542,1522.74,561.22,0.9164,54.63,37.02,101.58,59.68,42.81,70.71,6.22,nan,1392.5,432.01,1506.0,600.49
19.0,1407.19,450.75,0.9337,1411.39,447.22,0.9263,1407.86,447.2,0.9171,1424.66,448.98,0.9209999999999999,1424.17,449.61,0.7275,1434.41,470.66,0.9066,1415.58,467.54,0.9117,1451.18,491.63,0.9347,1414.92,491.63,0.9076,1439.67,518.17,0.9055,1392.17,498.27,0.9181,1428.84,525.21,0.8981,1420.05,524.12,0.8999,1433.83,563.02,0.8786,1401.46,554.39,0.9134,1477.0,554.39,0.818,1382.04,591.07,0.8698,1416.94,435.72,0.9398,1422.89,461.58,0.9454,1424.23,521.69,0.9492,1492.06,565.02,0.7199,1362.61,595.39,0.9324,1491.49,562.03,0.7628,1362.61,595.39,0.9175,1480.57,548.21,0.8523,1384.19,599.71,0.925,3.67,93.79,72.18,62.09,49.57,46.55,11.67,67.57,1371.19,431.58,1468.42,597.33
20.0,1376.28,452.52,0.971,1381.22,447.58,0.9369,1376.28,447.58,0.996,1393.57,452.52,0.9456,1391.1,452.52,0.8689,1400.98,472.28,0.9492,1386.16,469.81,0.9148,1410.86,499.46,0.8564,1391.1,496.99,0.9046,1388.63,519.22,0.823,1376.28,511.81,0.7287,1400.98,519.22,0.878,1391.1,521.69,0.8411,1378.75,561.22,0.8585,1393.57,563.69,0.841,1366.39,603.22,0.8868,1428.16,551.34,0.8175,1386.16,437.7,0.9255,1391.1,462.4,0.9612,1396.04,519.22,0.9341,1346.63,608.16,0.9393,1447.92,561.22,0.958,1354.04,610.63,0.9973,1445.45,558.75,0.8934,1368.87,608.16,0.9036,1433.1,546.4,0.8235,106.29,11.51,55.3,68.35,46.22,59.57,6.34,26.56,1344.58,430.53,1430.2,620.26
