foot,ground drop,ground up,ground contact,x,y,Distance (m) - approx,stride duration (frames),stride duration (secs),stride frequency,ground contact (secs),Moving Average (GT contact secs),,Smooth Stride frequency
right,23,29,,,,,,,,,,,
left,37,43,6,533,569,,,,,0.100,0.100,300,
right,52,58,6,795,740,1.546,15,0.249,241.040,0.100,0.103,300,258.919
left,66,72,6,1071,911,1.629,14,0.232,258.257,0.100,0.103,300,258.919
right,80,86,6,1345,1082,1.617,14,0.232,258.257,0.100,0.103,300,263.886
left,93,100,7,1631,1253,1.688,13,0.216,278.123,0.117,0.103,300,259.582
right,108,114,6,1912,1424,1.658,15,0.249,241.040,0.100,0.103,300,265.376
left,121,127,6,2193,1595,1.658,13,0.216,278.123,0.100,0.103,300,269.680
right,136,142,6,2476,1766,1.670,15,0.249,241.040,0.100,0.103,300,260.409
left,148,154,6,2750,1937,1.617,12,0.199,301.300,0.100,0.103,300,256.643
right,162,169,7,3055,2108,1.800,14,0.232,258.257,0.117,0.104,300,241.757
left,177,183,6,3372,2279,1.871,15,0.249,241.040,0.100,0.106,300,233.508
right,193,199,6,3721,2450,2.060,16,0.266,225.975,0.100,0.100,300,225.975
left,,,,,,,,,,,,,
right,,,,,,,,,,,,,
left,,,,,,,,,,,,,
right,,,,,,,,,,,,,
left,,,,,,,,,,,,,
right,,,,,,18.814,,,,,,,
left,,,,,,,,,,,,,
right,,,,,,,,,,,,,
left,,,,,,,,,,,,,
right,,,,,,,,,,,,,
left,,,,,,,,,,,,,
right,,,,,,,,,,,,,
left,,,,,,,,,,,,,
right,,,,,,,,,,,,,
left,,,,,,,,,,,,,
right,,,,,,,,,,,,,
left,,,,,,,,,,,,,
right,,,,,,,,,,,,,
left,,,,,,,,,,,,,
right,,,,,,,,,,,,,
left,,,,,,,,,,,,,
,,,,,,,,,,,,,
Frames per sec,60.26,,,,,,,,,,,,
3389,20m,,,,,,,,,,,,
